time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027512.6232803,-0.5005187392234802,0.2502593696117401,0.2502593696117401,0.46774446964263916,-0.28303369879722595,-0.28303369879722595
1741027512.6330166,-0.49359557032585144,0.24679778516292572,0.24679778516292572,0.44323626160621643,-0.2971571087837219,-0.2971571087837219
1741027512.642538,-0.48403269052505493,0.24201634526252747,0.24201634526252747,0.41645678877830505,-0.30959227681159973,-0.30959227681159973
1741027512.653186,-0.4700753390789032,0.2350376695394516,0.2350376695394516,0.38316401839256287,-0.3219490349292755,-0.3219490349292755
1741027512.663434,-0.4535816013813019,0.22679080069065094,0.22679080069065094,0.3481285274028778,-0.3322438597679138,-0.3322438597679138
1741027512.672954,-0.4356376826763153,0.21781884133815765,0.21781884133815765,0.31297028064727783,-0.3404862582683563,-0.3404862582683563
1741027512.6827042,-0.414733350276947,0.2073666751384735,0.2073666751384735,0.2744291424751282,-0.34767085313796997,-0.34767085313796997
1741027512.692357,-0.3916371464729309,0.19581857323646545,0.19581857323646545,0.23386704921722412,-0.35358867049217224,-0.35358867049217224
1741027512.7029717,-0.363650381565094,0.181825190782547,0.181825190782547,0.1866755336523056,-0.3588000237941742,-0.3588000237941742
1741027512.7135098,-0.33335500955581665,0.16667750477790833,0.16667750477790833,0.13730669021606445,-0.3627258241176605,-0.3627258241176605
1741027512.7230341,-0.30403685569763184,0.15201842784881592,0.15201842784881592,0.09076885133981705,-0.3652864098548889,-0.3652864098548889
1741027512.732835,-0.2720452845096588,0.1360226422548294,0.1360226422548294,0.04102972522377968,-0.36703819036483765,-0.36703819036483765
1741027512.7423346,-0.23964641988277435,0.11982320994138718,0.11982320994138718,-0.00849299319088459,-0.36796262860298157,-0.36796262860298157
1741027512.7529895,-0.20167317986488342,0.10083658993244171,0.10083658993244171,-0.0657067522406578,-0.36821651458740234,-0.36821651458740234
1741027512.7631629,-0.16377456486225128,0.08188728243112564,0.08188728243112564,-0.12213332951068878,-0.3677951693534851,-0.3677951693534851
1741027512.773121,-0.12665338814258575,0.06332669407129288,0.06332669407129288,-0.17691873013973236,-0.3668988049030304,-0.3668988049030304
1741027512.7826955,-0.08878988772630692,0.04439494386315346,0.04439494386315346,-0.2324456125497818,-0.36563044786453247,-0.36563044786453247
1741027512.7922568,-0.05121355876326561,0.025606779381632805,0.025606779381632805,-0.28731492161750793,-0.3641352653503418,-0.3641352653503418
